,Unnamed: 0,Unnamed: 0.1,name,address,type,ranking,price,direccion,comunidad,street,street_2,coordinates
431,60,60,Rocambolesc,"Calle Serrano 52 El Corte Ingles, 7a Planta, 28001 Madrid España",Postres,N.º 26 de 319 postres en Madrid,€€ - €€€,Calle Serrano 52 El Corte Ingles 7a Planta , Madrid España,Calle Serrano 52 El Corte Ingles 7,"Calle Serrano 52 El Corte Ingles 7, Madrid España","Calle Serrano 52 El Corte Ingles 7, Madrid España"
432,61,61,Oribu Gastrobar,"Barquillo 10, 28004 Madrid España",Japonesa,#1.138 de 10.409 restaurantes en Madrid,€€ - €€€,Barquillo 10 , Madrid España,Barquillo 10,"Barquillo 10, Madrid España","(40.4204244, -3.6955787)"
433,62,62,De Maria - Calle Hortaleza,"Calle Hortaleza, 81, 28004 Madrid España",Restaurante de carne,#258 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Hortaleza 81 , Madrid España,Calle Hortaleza 81,"Calle Hortaleza 81, Madrid España","(40.4172605, -3.1762323)"
434,63,63,Los Arroces de Segis,"Calle Infanta Mercedes 109, 28020 Madrid España",Mediterránea,#4.236 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Infanta Mercedes 109 , Madrid España,Calle Infanta Mercedes 109,"Calle Infanta Mercedes 109, Madrid España","(40.4639217, -3.6933058)"
435,64,64,El Jardín del InterContinental,"Paseo de la Castellana, 49 Metro Gregorio Marañón, 28046 Madrid España",Internacional,#173 de 10.409 restaurantes en Madrid,€€€€,Paseo de la Castellana 49 Metro Gregorio Marañón , Madrid España,Paseo de la Castellana 49,"Paseo de la Castellana 49, Madrid España","(40.4304236, -3.6890223)"
436,65,65,Cinco Jotas Serrano,"Calle Serrano, 118, 28006 Madrid España",Mediterránea,#239 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Serrano 118 , Madrid España,Calle Serrano 118,"Calle Serrano 118, Madrid España","(40.4504615, -3.6821569)"
437,66,66,O Pazo de Lugo,"Calle Argumosa, 28, 28012 Madrid España",Bar,#916 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Argumosa 28 , Madrid España,Calle Argumosa 28,"Calle Argumosa 28, Madrid España","(40.4075403, -3.696597)"
438,67,67,La Panza Es Primero,"Calle Libertad 33, 28004 Madrid España",Mexicana,#2.788 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Libertad 33 , Madrid España,Calle Libertad 33,"Calle Libertad 33, Madrid España","(40.4436654, -3.7976193)"
439,68,68,Amargo Place to Be,"Calle Pez 2 Malasaña, 28004 Madrid España",Mediterránea,#1.696 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Pez 2 Malasaña , Madrid España,Calle Pez 2,"Calle Pez 2, Madrid España","(40.5678635, -4.261314)"
440,69,69,Radhuni Indian Restaurant,"Calle PRINCIPE CARLOS, 21, 28050 Madrid España",India,#77 de 10.409 restaurantes en Madrid,€€ - €€€,Calle PRINCIPE CARLOS 21 , Madrid España,Calle PRINCIPE CARLOS 21,"Calle PRINCIPE CARLOS 21, Madrid España","Calle PRINCIPE CARLOS 21, Madrid España"
441,70,70,Tres Por Cuatro,"Calle Montesa 9, 28006 Madrid España",Mediterránea,#660 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Montesa 9 , Madrid España,Calle Montesa 9,"Calle Montesa 9, Madrid España","(40.4014215, -3.4159227)"
442,71,71,Portobello (Rosario Pino),"Calle de Rosario Pino 18, 28020 Madrid España",Marisco,#2.107 de 10.409 restaurantes en Madrid,€€ - €€€,Calle de Rosario Pino 18 , Madrid España,Calle de Rosario Pino 18,"Calle de Rosario Pino 18, Madrid España","(40.4623654, -3.6935493)"
443,72,72,"La Tagliatella Av. Machupichu, Madrid","Avenida Machupichu 85, 28043 Madrid España",Italiana,#5.001 de 10.409 restaurantes en Madrid,€€ - €€€,Avenida Machupichu 85 , Madrid España,Avenida Machupichu 85,"Avenida Machupichu 85, Madrid España","(40.4639234, -3.6353076)"
444,73,73,Fuente de la Fama,"Calle de Atocha, 68 Calle de Atocha, 68, 28012 Madrid España",Mediterránea,#335 de 10.409 restaurantes en Madrid,€€ - €€€,Calle de Atocha 68 Calle de Atocha 68 , Madrid España,Calle de Atocha 68 Calle de Atocha 68,"Calle de Atocha 68 Calle de Atocha 68, Madrid España","Calle de Atocha 68 Calle de Atocha 68, Madrid España"
445,74,74,La Portuguesa Taberna,"Calle de Martín de los Heros, 36 Arguelles, 28008 Madrid España",Portuguesa,#255 de 10.409 restaurantes en Madrid,€€ - €€€,Calle de Martín de los Heros 36 Arguelles , Madrid España,Calle de Martín de los Heros 36,"Calle de Martín de los Heros 36, Madrid España","(40.4289351, -3.7175179)"
446,75,75,Edelweiss,"Calle Jovellanos 7, 28014 Madrid España",Española,#2.228 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Jovellanos 7 , Madrid España,Calle Jovellanos 7,"Calle Jovellanos 7, Madrid España","(40.4893819, -3.3592245)"
